epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
143,911.599,2.08415,1.4174,1.16956,0.4318,0.14656,0.25526,0.12459,2.09127,1.56455,1.14536,5.314e-05,5.314e-05,5.314e-05
144,918.101,2.08917,1.41898,1.18158,0.4318,0.14656,0.25526,0.12459,2.09127,1.56455,1.14536,5.281e-05,5.281e-05,5.281e-05
145,924.709,2.03992,1.39573,1.1498,0.42589,0.14738,0.25307,0.12458,2.07951,1.56406,1.14126,5.248e-05,5.248e-05,5.248e-05
146,930.818,2.03705,1.42097,1.20376,0.42589,0.14738,0.25307,0.12458,2.07951,1.56406,1.14126,5.215e-05,5.215e-05,5.215e-05
147,937.197,2.02725,1.39453,1.18185,0.42589,0.14738,0.25307,0.12458,2.07951,1.56406,1.14126,5.182e-05,5.182e-05,5.182e-05
148,943.639,2.06073,1.3952,1.14887,0.41995,0.14504,0.24935,0.12282,2.0763,1.57224,1.14052,5.149e-05,5.149e-05,5.149e-05
149,950.148,2.04726,1.42435,1.17153,0.41995,0.14504,0.24935,0.12282,2.0763,1.57224,1.14052,5.116e-05,5.116e-05,5.116e-05
150,956.629,2.00265,1.36582,1.17093,0.41879,0.14365,0.24817,0.12156,2.07679,1.57081,1.13939,5.083e-05,5.083e-05,5.083e-05
151,962.993,2.02729,1.40081,1.19262,0.41879,0.14365,0.24817,0.12156,2.07679,1.57081,1.13939,5.05e-05,5.05e-05,5.05e-05
152,969.243,2.04521,1.38908,1.167,0.41857,0.14429,0.24745,0.11996,2.0833,1.57218,1.14221,5.017e-05,5.017e-05,5.017e-05
153,975.532,2.07755,1.39922,1.17216,0.41857,0.14429,0.24745,0.11996,2.0833,1.57218,1.14221,4.984e-05,4.984e-05,4.984e-05
154,982.024,2.03243,1.39907,1.19928,0.41094,0.14347,0.24379,0.11894,2.08962,1.57956,1.14367,4.951e-05,4.951e-05,4.951e-05
155,988.453,2.07128,1.39078,1.16267,0.41094,0.14347,0.24379,0.11894,2.08962,1.57956,1.14367,4.918e-05,4.918e-05,4.918e-05
156,994.663,2.06572,1.41848,1.18818,0.41094,0.14347,0.24379,0.11894,2.08962,1.57956,1.14367,4.885e-05,4.885e-05,4.885e-05
157,1001.29,2.08218,1.4245,1.22541,0.4239,0.1462,0.25269,0.1223,2.09178,1.56902,1.14512,4.852e-05,4.852e-05,4.852e-05
158,1007.55,2.06725,1.40579,1.18866,0.4239,0.1462,0.25269,0.1223,2.09178,1.56902,1.14512,4.819e-05,4.819e-05,4.819e-05
159,1014.1,2.06552,1.40238,1.16394,0.42455,0.14851,0.25535,0.12287,2.08487,1.55232,1.1427,4.786e-05,4.786e-05,4.786e-05
160,1020.61,2.00292,1.38444,1.20646,0.42455,0.14851,0.25535,0.12287,2.08487,1.55232,1.1427,4.753e-05,4.753e-05,4.753e-05
161,1027.05,1.99833,1.36412,1.17814,0.42126,0.15143,0.25522,0.12281,2.08866,1.55058,1.14495,4.72e-05,4.72e-05,4.72e-05
162,1033.47,2.04386,1.37636,1.13952,0.42126,0.15143,0.25522,0.12281,2.08866,1.55058,1.14495,4.687e-05,4.687e-05,4.687e-05
163,1039.88,2.04754,1.37069,1.14455,0.42126,0.15143,0.25522,0.12281,2.08866,1.55058,1.14495,4.654e-05,4.654e-05,4.654e-05
164,1046.19,2.03444,1.37043,1.17546,0.42538,0.15539,0.25919,0.12384,2.08899,1.54517,1.14508,4.621e-05,4.621e-05,4.621e-05
165,1052.72,2.07277,1.38214,1.16736,0.42538,0.15539,0.25919,0.12384,2.08899,1.54517,1.14508,4.588e-05,4.588e-05,4.588e-05
166,1059.18,2.05469,1.35167,1.15189,0.43341,0.15527,0.26346,0.12549,2.08779,1.54347,1.14497,4.555e-05,4.555e-05,4.555e-05
167,1065.7,2.1398,1.44435,1.19632,0.43341,0.15527,0.26346,0.12549,2.08779,1.54347,1.14497,4.522e-05,4.522e-05,4.522e-05
168,1072.18,2.04122,1.35252,1.15773,0.43356,0.15556,0.26351,0.127,2.08738,1.5434,1.14389,4.489e-05,4.489e-05,4.489e-05
169,1078.58,2.04343,1.39474,1.18391,0.43356,0.15556,0.26351,0.127,2.08738,1.5434,1.14389,4.456e-05,4.456e-05,4.456e-05
170,1084.85,2.04295,1.41303,1.19266,0.42631,0.15169,0.25731,0.12325,2.08774,1.55324,1.14289,4.423e-05,4.423e-05,4.423e-05
